episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
145,8,collision,14,3.5050253868103027,67.5264421403408,2.427523136138916,18.375354766845703,0.0,1.0,5.869792461395264
146,1,success,68,17.00867772102356,48.043528993963264,0.7420318126678467,13.197565078735352,0.2747001595239526,1.0,0.6065712571144104
147,7,collision,36,9.007608652114868,38.63563197851181,4.524496555328369,23.755672454833984,0.0,1.0,0.9209635853767395
148,7,success,81,20.275808572769165,89.47611504793167,2.3328728675842285,19.702247619628906,0.22019560872836916,1.0,0.9084027409553528
149,11,success,29,7.249621868133545,39.113714560866356,10.599136352539062,7.264186382293701,0.1857196756649032,1.0,1.2581334114074707
150,11,success,31,7.756853103637695,33.3357849419117,2.832136869430542,7.264186382293701,0.2179095646000746,1.0,0.9453129768371582
151,8,collision,14,3.5100884437561035,47.33968158066273,2.2369484901428223,16.521331787109375,0.0,1.0,4.030704021453857
152,1,success,83,20.781388998031616,47.64542655553669,0.6718003153800964,15.532703399658203,0.3260061777713943,1.0,0.45575612783432007
153,8,collision,12,3.01491117477417,86.0852549225092,2.832136869430542,20.88999366760254,0.0,1.0,9.303403854370117
154,4,success,76,19.038049936294556,64.67436215281487,1.2358849048614502,18.227453231811523,0.2818342945345646,1.0,0.6511064171791077
155,11,success,28,7.0030436515808105,40.77883903682232,1.7927420139312744,7.264186382293701,0.17813617439511492,1.0,1.4094511270523071
156,11,success,31,7.743974447250366,41.212078243494034,10.602005004882812,7.264186382293701,0.17626352981702556,1.0,1.2365878820419312
157,12,success,39,9.768541097640991,42.23093253409024,7.516647815704346,8.375995635986328,0.19833792751853016,1.0,1.0011075735092163
158,7,success,80,20.019269227981567,62.068674355745316,2.130976438522339,19.702247619628906,0.3174265895660327,1.0,0.5815243124961853
159,7,success,80,20.00546169281006,89.34310394525528,2.263249158859253,19.702247619628906,0.22052342877746223,1.0,0.9203311800956726
160,8,collision,13,3.2411048412323,66.91420468688011,2.750458002090454,17.034076690673828,0.0,1.0,6.4008049964904785
161,11,success,28,7.01370644569397,13.597997412085533,36.140838623046875,7.264186382293701,0.5342100135890222,1.0,0.30050164461135864
162,11,success,29,7.251131534576416,13.734148859977722,36.8497428894043,7.264186382293701,0.5289142018448666,1.0,0.3052150309085846
163,12,success,39,9.759630680084229,104.48996445536613,6.236468315124512,8.375994682312012,0.08016075731263068,1.0,2.727757453918457
164,1,success,70,17.512468099594116,41.30014803594895,1.0858606100082397,13.197565078735352,0.31955248846197293,1.0,0.48303380608558655
165,1,success,86,21.512741088867188,58.642589825583855,0.7593456506729126,15.724407196044922,0.26813971284032334,1.0,0.5486512184143066
166,9,success,36,9.019484758377075,17.357499226927757,12.233739852905273,9.231090545654297,0.5318214579744033,1.0,0.30477848649024963
167,11,success,29,7.251445770263672,14.031042069196701,35.91591262817383,7.264186382293701,0.5177225145836647,1.0,0.30732202529907227
168,7,success,78,19.52582859992981,61.6100662201643,1.4178187847137451,19.43354034423828,0.31542800611173333,1.0,0.5840774774551392
169,5,collision,17,4.247944355010986,66.88189306855202,3.185375690460205,20.113676071166992,0.0,1.0,4.505290508270264
170,1,success,154,38.55259990692139,59.34419512586646,0.645913302898407,18.747018814086914,0.31590316077798847,1.0,0.31650546193122864
171,4,success,78,19.511059522628784,34.13063019514084,0.7629668116569519,18.227449417114258,0.5340496003999742,1.0,0.22882641851902008
172,12,success,41,10.273910760879517,70.59360840916634,10.449893951416016,8.375995635986328,0.11865090657270799,1.0,1.6943286657333374
173,11,collision,17,4.256399869918823,38.26398514211178,1.6323356628417969,7.264186382293701,0.0,1.0,2.6009442806243896
174,8,collision,14,3.5020499229431152,45.13174642622471,2.1748828887939453,19.301189422607422,0.0,1.0,3.8440215587615967
175,7,success,87,21.766657829284668,79.65310820937157,2.045039176940918,21.31060791015625,0.26754270347040837,1.0,0.706209123134613
176,7,success,80,20.002421617507935,39.44060757756233,2.413853406906128,19.54766082763672,0.4956227104056413,1.0,0.2777751088142395
177,11,success,28,6.999934196472168,38.44376167654991,24.328834533691406,7.264186382293701,0.18895618080799675,1.0,1.2986481189727783
178,5,collision,27,6.7618727684021,56.889461383223534,3.9593844413757324,20.113676071166992,0.0,1.0,2.1489856243133545
179,9,success,38,9.513553857803345,52.80490918457508,12.298118591308594,9.60769271850586,0.1819469603654271,1.0,1.2655186653137207
180,9,success,35,8.741209983825684,54.119790241122246,7.516647815704346,8.801468849182129,0.16262939693536438,1.0,1.450969934463501
181,11,collision,17,4.245203733444214,6.497083857655525,7.516647815704346,7.264186382293701,0.0,1.0,0.34375500679016113
